code,event_name,task,description
10,experiment_start,all,实验开始
11,experiment_end,all,实验结束
12,experiment_abort,all,实验被操作员中止
20,block_start,all,区块开始
21,block_end,all,区块结束
100,rest_open_start,deviceqc|m0_baseline,睁眼静息开始
101,rest_open_end,deviceqc|m0_baseline,睁眼静息结束
110,rest_closed_start,deviceqc|m0_baseline,闭眼静息开始
111,rest_closed_end,deviceqc|m0_baseline,闭眼静息结束
112,rest_closed_prepare,deviceqc|m0_baseline,闭眼静息准备提示
120,blink,deviceqc,自然眨眼条件开始
130,jaw_clench,deviceqc,咬紧条件开始
200,gesture_idle,headgesture,静止或自然小动作
201,head_left,headgesture,左转头并回中
202,head_right,headgesture,右转头并回中
203,head_nod,headgesture,点头并回中
204,head_cancel,headgesture,快速左右摇头并回中
300,mi_idle,m1_mi,空闲态
301,mi_left,m1_mi,左手运动想象
302,mi_right,m1_mi,右手运动想象
303,mi_run_rating_start,m1_mi,运动想象Run级评分开始
304,mi_run_rating,m1_mi,运动想象Run级评分提交
305,mi_cue,m1_mi,运动想象准备提示
306,mi_trial_end,m1_mi,运动想象有效阶段结束
307,mi_guided_practice_start,m1_mi,运动想象引导练习开始
308,mi_guided_practice_complete,m1_mi,运动想象引导练习完成
309,mi_formal_start,m1_mi,运动想象正式采集准备
310,inter_run_rest,m1_mi,运动想象组间休息
400,baseline_preparation_start,m0_baseline,基线设备与安全检查开始
401,baseline_preparation_complete,m0_baseline,基线设备与安全检查完成
402,baseline_settle_start,m0_baseline,自然呼吸稳定段开始
403,baseline_settle_end,m0_baseline,自然呼吸稳定段结束
410,baseline_questionnaire_start,m0_baseline,基线问卷开始
411,baseline_questionnaire,m0_baseline,基线问卷提交
415,nback_pre_rest_start,m2_nback,M2开始前安静恢复开始
416,nback_pre_rest_end,m2_nback,M2开始前安静恢复结束
417,nback_precheck_start,m2_nback,M2开始前状态确认开始
418,nback_precheck,m2_nback,M2开始前状态确认提交
420,block_start,m2_nback,0-back区块开始
421,nback_stimulus,m2_nback,0-back刺激出现
430,block_start,m2_nback,1-back区块开始
431,nback_stimulus,m2_nback,1-back刺激出现
440,block_start,m2_nback,2-back区块开始
441,nback_stimulus,m2_nback,2-back刺激出现
450,block_rating_start,m2_nback,区块评分开始
451,block_rating,m2_nback,区块评分提交
452,block_rest,m2_nback,区块休息开始
453,nback_task_end,m2_nback,N-Back任务段结束
454,block_rest_end,m2_nback,区块恢复段结束
459,nback_response,m2_nback|m3b_fatigue,被试按键响应
460,nback_trial_result,m2_nback|m3b_fatigue,刺激试次结果
500,safety_check_start,m3a_safety,动作安全检查开始
501,safety_check_complete,m3a_safety,动作安全检查完成
510,motion_sit_baseline,m3a_safety,正常坐姿静止
511,motion_nod,m3a_safety,缓慢点头
512,motion_shake,m3a_safety,缓慢摇头
513,motion_forward,m3a_safety,突然前倾
514,motion_side_left,m3a_safety,突然左侧倾
515,motion_side_right,m3a_safety,突然右侧倾
516,motion_stand,m3a_safety,快速起身
517,motion_walk_start,m3a_safety,正常行走开始
518,motion_walk_end,m3a_safety,正常行走结束
520,fatigue_task_start,m3b_fatigue,分段持续1-back疲劳任务开始
521,fatigue_rating_start,m3b_fatigue,阶段疲劳评分开始
522,fatigue_rating,m3b_fatigue,阶段疲劳评分提交
523,fatigue_segment_start,m3b_fatigue,疲劳任务分段开始
524,fatigue_segment_end,m3b_fatigue,疲劳任务分段结束
525,fatigue_recovery_start,m3b_fatigue,疲劳任务后恢复开始
526,fatigue_recovery_end,m3b_fatigue,疲劳任务后恢复结束
600,intent_absent,m4a_intent,无拿取意图有效阶段开始
601,intent_present,m4a_intent,有拿取意图有效阶段开始
602,intent_cue,m4a_intent,意图条件准备提示
603,intent_rating_start,m4a_intent,意图任务总体评分开始
604,intent_rating,m4a_intent,意图任务总体评分提交
605,intent_trial_end,m4a_intent,意图任务有效阶段结束
610,target_selection_start,m4b_target,目标选择任务开始
611,target_highlight,m4b_target,非目标物体高亮
612,target_highlight,m4b_target,目标物体高亮
613,target_attention_rating_start,m4b_target,目标注意总体评分开始
614,target_attention_rating,m4b_target,目标注意总体评分提交
650,debrief_start,m5_debrief,结束问卷开始
651,debrief,m5_debrief,结束问卷提交
700,audio_cue,all,离线语音过渡提示音
709,readiness_intro,m6_readiness,脑状态安检说明
710,readiness_context_start,m6_readiness,当次状态表单开始
711,readiness_context,m6_readiness,当次状态表单提交
712,readiness_signal_gate_start,m6_readiness,信号质量门控开始
713,readiness_signal_gate_end,m6_readiness,信号质量门控结束
714,readiness_baseline_start,m6_readiness,睁眼当次基线开始
715,readiness_baseline_end,m6_readiness,睁眼当次基线结束
719,sart_instruction,m6_readiness,SART任务说明
720,sart_start,m6_readiness,SART正式任务开始
721,sart_stimulus,m6_readiness,SART数字刺激
722,sart_response,m6_readiness,SART空格键响应
723,sart_trial_result,m6_readiness,SART试次结果
724,sart_end,m6_readiness,SART正式任务结束
730,readiness_assessment,m6_readiness,四态筛查结果
900,trial_invalid,all,操作员标记当前试次无效
901,device_adjustment,all,采集中调整设备
902,bluetooth_interruption,all,蓝牙或数据流中断
903,mi_motion_warning,m1_mi,运动想象有效阶段检测到明显动作候选
